EMAIL_DATA;ACTIVE;EMAIL;FUNCTION;NAME;PASSWORD;PHOTO
js@mymail.com;TRUE;js@mymail.com;Anything;Joao Silva;qwerty1!;Picture
ms@mymail.com;TRUE;ms@mymail.com;Anything;Manel Costa;qwerty1!;Picture
xf@mymail.com;TRUE;xf@mymail.com;Anything;Xico Ferreira;qwerty1!;Picture
tc@mymail.com;TRUE;tc@mymail.com;Anything;Tiago Cancado;qwerty1!;Picture
udu@mymail.com;TRUE;udu@mymail.com;Anything;Urbino das Urzes;qwerty1!;Picture
ze@mymail.com;TRUE;ze@mymail.com;Anything;Ze da Esquina;qwerty1!;Picture
nel.m@mymail.com;TRUE;nel.m@mymail.com;Flexible;Nel Moleiro;qwerty1!;Picture
zb@mymail.com;TRUE;zb@mymail.com;Flexible;Zé do Bento;qwerty1!;Picture
to.f@mymail.com;TRUE;to.f@mymail.com;Flexible;Tó Farrulo;qwerty1!;Picture
tdc@mymail.com;TRUE;tdc@mymail.com;Not so flexible;Tino das Cruzes;qwerty1!;Picture
qb@mymail.com;TRUE;qb@mymail.com;Anything;Quim Barreiros;qwerty1!;Picture
tg@mymail.com;TRUE;tg@mymail.com;Anything;Tiago Geringonca;qwerty1!;Picture
zm@mymail.com;TRUE;zm@mymail.com;Anything;Zé Manel;qwerty1!;Picture
as@mymail.com;TRUE;as@mymail.com;Anything;Antonio Silva;qwerty1!;Picture
