ACCOUNTJPA_EMAIL_DATA;PROFILEIDS
udu@mymail.com;Visitor
udu@mymail.com;Administrator
tc@mymail.com;Visitor
tc@mymail.com;Director
ze@mymail.com;Visitor
js@mymail.com;Visitor
js@mymail.com;User
ms@mymail.com;Visitor
ms@mymail.com;User
xf@mymail.com;Visitor
xf@mymail.com;User
nel.m@mymail.com;Visitor
nel.m@mymail.com;User
zb@mymail.com;Visitor
zb@mymail.com;User
to.f@mymail.com;Visitor
to.f@mymail.com;User
tdc@mymail.com;Visitor
tdc@mymail.com;User
qb@mymail.com;Visitor
qb@mymail.com;User
tg@mymail.com;Visitor
tg@mymail.com;User
zm@mymail.com;Visitor
zm@mymail.com;User
as@mymail.com;Visitor
as@mymail.com;User
